,wild_time,mutant_time
230,12.0,13.0
231,39.0,40.0
232,111.0,126.0
233,12.0,12.0
234,88.0,66.0
235,37.0,38.0
236,192.0,356.0
237,12.0,12.0
238,251.0,160.0
239,38.0,51.0
240,50.0,51.0
241,383.0,218.0
242,99.0,119.0
243,151.0,173.0
244,70.0,83.0
245,75.0,165.0
246,153.0,267.0
247,92.0,98.0
248,44.0,48.0
249,27.0,30.0
250,27.0,28.0
251,108.0,135.0
252,12.0,12.0
253,41.0,45.0
254,12.0,13.0
255,12.0,12.0
256,12.0,12.0
257,153.0,340.0
258,39.0,40.0
259,49.0,51.0
260,129.0,130.0
261,186.0,133.0
262,26.0,27.0
263,28.0,30.0
264,45.0,45.0
265,12.0,12.0
266,99.0,76.0
267,119.0,86.0
268,10000.0,10000.0
269,147.0,141.0
270,242.0,134.0
271,349.0,154.0
272,11.0,12.0
273,369.0,119.0
274,116.0,143.0
275,41.0,42.0
276,38.0,50.0
277,40.0,42.0
278,240.0,146.0
279,259.0,187.0
280,46.0,81.0
281,357.0,135.0
282,11.0,12.0
283,11.0,11.0
284,63.0,63.0
285,49.0,51.0
286,38.0,39.0
287,110.0,102.0
288,24.0,25.0
289,12.0,12.0
290,35.0,47.0
291,42.0,29.0
292,59.0,65.0
293,10.0,10.0
294,41.0,42.0
295,51.0,52.0
296,12.0,12.0
297,195.0,198.0
298,86.0,120.0
299,111.0,116.0
300,42.0,45.0
301,58.0,62.0
302,12.0,12.0
303,39.0,40.0
304,52.0,55.0
305,10000.0,10000.0
306,91.0,116.0
307,144.0,152.0
308,47.0,48.0
309,12.0,12.0
310,27.0,28.0
311,60.0,76.0
312,13.0,13.0
313,38.0,40.0
314,11.0,11.0
315,80.0,115.0
316,12.0,12.0
317,24.0,25.0
318,12.0,12.0
319,122.0,125.0
320,177.0,103.0
321,154.0,159.0
322,39.0,40.0
323,12.0,12.0
324,14.0,15.0
325,26.0,27.0
326,47.0,48.0
327,10.0,10.0
328,10000.0,10000.0
329,26.0,27.0
330,80.0,88.0
331,26.0,26.0
332,26.0,27.0
333,163.0,158.0
334,28.0,30.0
335,71.0,97.0
336,36.0,40.0
337,96.0,89.0
338,221.0,242.0
339,11.0,12.0
340,187.0,200.0
341,13.0,14.0
342,12.0,12.0
343,25.0,26.0
344,47.0,49.0
345,50.0,51.0
346,1032.0,455.0
347,47.0,49.0
348,179.0,183.0
349,149.0,152.0
350,372.0,262.0
351,147.0,140.0
352,10.0,10.0
353,12.0,12.0
354,12.0,12.0
355,70.0,73.0
356,195.0,190.0
357,10000.0,242.0
358,101.0,92.0
359,49.0,51.0
360,12.0,12.0
361,284.0,149.0
362,49.0,52.0
363,122.0,122.0
364,270.0,230.0
365,12.0,12.0
366,40.0,41.0
367,10.0,10.0
368,12.0,12.0
369,246.0,147.0
370,13.0,13.0
371,12.0,12.0
372,12.0,12.0
373,26.0,27.0
374,46.0,48.0
375,27.0,28.0
376,181.0,152.0
377,230.0,391.0
378,157.0,137.0
379,123.0,87.0
380,39.0,41.0
381,115.0,70.0
382,26.0,27.0
383,196.0,205.0
384,12.0,12.0
385,25.0,26.0
386,13.0,13.0
387,112.0,151.0
388,87.0,113.0
389,115.0,67.0
390,11.0,11.0
391,31.0,31.0
392,40.0,42.0
393,10000.0,157.0
394,12.0,12.0
395,83.0,86.0
396,51.0,47.0
397,23.0,24.0
398,244.0,215.0
399,28.0,30.0
400,10000.0,162.0
401,219.0,266.0
402,29.0,45.0
403,85.0,68.0
404,118.0,128.0
405,14.0,15.0
406,97.0,131.0
407,191.0,211.0
408,118.0,424.0
409,87.0,99.0
410,145.0,178.0
411,213.0,73.0
412,10.0,10.0
413,108.0,104.0
414,70.0,73.0
415,94.0,97.0
416,12.0,12.0
417,280.0,313.0
418,97.0,102.0
419,26.0,27.0
420,313.0,132.0
421,42.0,43.0
422,253.0,236.0
423,94.0,79.0
424,47.0,48.0
425,10.0,10.0
426,61.0,63.0
427,37.0,39.0
428,98.0,128.0
429,26.0,27.0
430,117.0,122.0
431,27.0,29.0
432,51.0,56.0
433,26.0,27.0
434,44.0,45.0
435,112.0,131.0
436,53.0,54.0
437,36.0,38.0
438,77.0,78.0
439,237.0,217.0
440,76.0,78.0
441,47.0,50.0
442,177.0,171.0
443,12.0,12.0
444,27.0,28.0
445,105.0,136.0
446,13.0,13.0
447,116.0,181.0
448,92.0,110.0
449,101.0,107.0
450,87.0,93.0
451,181.0,303.0
452,35.0,37.0
453,10000.0,10000.0
454,47.0,49.0
455,25.0,26.0
456,103.0,132.0
457,160.0,105.0
458,36.0,39.0
459,12.0,12.0
460,72.0,76.0
461,12.0,12.0
462,13.0,14.0
463,131.0,210.0
464,22.0,23.0
465,159.0,177.0
466,12.0,12.0
467,25.0,26.0
468,10000.0,280.0
469,13.0,13.0
470,38.0,39.0
471,26.0,27.0
472,147.0,118.0
473,64.0,72.0
474,10.0,10.0
475,36.0,46.0
476,44.0,45.0
477,223.0,138.0
478,12.0,12.0
479,129.0,231.0
480,298.0,228.0
481,13.0,14.0
482,164.0,137.0
483,14.0,14.0
484,250.0,362.0
485,155.0,115.0
486,152.0,679.0
487,52.0,54.0
488,25.0,26.0
489,12.0,12.0
490,26.0,27.0
491,11.0,12.0
492,26.0,27.0
493,80.0,80.0
494,10.0,10.0
495,187.0,241.0
496,10.0,10.0
497,41.0,42.0
498,26.0,28.0
499,94.0,85.0
500,12.0,12.0
501,141.0,144.0
502,14.0,14.0
503,40.0,43.0
504,12.0,12.0
505,10.0,10.0
506,94.0,112.0
507,10.0,10.0
508,227.0,281.0
509,10.0,10.0
510,10.0,10.0
511,113.0,117.0
512,12.0,12.0
513,52.0,55.0
514,79.0,103.0
515,10.0,10.0
516,132.0,170.0
517,59.0,149.0
518,85.0,90.0
519,72.0,75.0
520,227.0,152.0
521,104.0,109.0
522,13.0,13.0
523,1647.0,347.0
524,205.0,308.0
525,72.0,74.0
526,35.0,47.0
527,170.0,169.0
528,54.0,57.0
529,63.0,52.0
530,186.0,71.0
531,146.0,325.0
532,304.0,150.0
533,584.0,85.0
534,27.0,28.0
535,12.0,12.0
536,171.0,273.0
537,12.0,12.0
538,201.0,243.0
539,117.0,122.0
540,99.0,94.0
541,130.0,134.0
542,328.0,179.0
543,13.0,13.0
544,12.0,12.0
545,90.0,99.0
546,26.0,27.0
547,104.0,200.0
548,175.0,190.0
549,26.0,27.0
550,228.0,120.0
551,50.0,52.0
552,12.0,12.0
553,249.0,252.0
554,10000.0,10000.0
555,172.0,98.0
556,110.0,143.0
557,24.0,26.0
558,190.0,99.0
559,103.0,98.0
560,190.0,217.0
561,53.0,42.0
562,65.0,68.0
563,37.0,39.0
564,301.0,229.0
565,74.0,78.0
566,116.0,112.0
567,13.0,14.0
568,26.0,28.0
569,92.0,123.0
570,62.0,61.0
571,14.0,14.0
572,144.0,125.0
573,72.0,74.0
574,40.0,41.0
575,275.0,618.0
576,10.0,10.0
577,66.0,126.0
578,60.0,62.0
579,12.0,12.0
580,174.0,101.0
581,12.0,12.0
582,211.0,156.0
583,106.0,78.0
584,68.0,10000.0
585,66.0,71.0
586,36.0,39.0
587,175.0,172.0
588,77.0,80.0
589,11.0,11.0
590,41.0,45.0
591,71.0,72.0
592,84.0,89.0
593,54.0,67.0
594,12.0,12.0
595,46.0,49.0
596,68.0,71.0
597,51.0,56.0
598,79.0,68.0
599,12.0,12.0
600,40.0,42.0
601,26.0,27.0
602,143.0,279.0
603,127.0,123.0
604,105.0,114.0
605,284.0,157.0
606,224.0,145.0
607,25.0,27.0
608,173.0,267.0
609,12.0,12.0
610,122.0,150.0
611,26.0,27.0
612,113.0,187.0
613,14.0,14.0
614,35.0,37.0
615,90.0,96.0
616,168.0,141.0
617,53.0,54.0
618,149.0,155.0
619,110.0,116.0
620,321.0,244.0
621,60.0,62.0
622,53.0,42.0
623,39.0,41.0
624,26.0,27.0
625,28.0,29.0
626,29.0,30.0
627,84.0,88.0
628,223.0,100.0
629,35.0,36.0
630,174.0,148.0
631,44.0,45.0
632,91.0,307.0
633,95.0,146.0
634,47.0,49.0
635,163.0,174.0
636,28.0,29.0
637,156.0,161.0
638,87.0,92.0
639,111.0,116.0
640,49.0,52.0
641,114.0,153.0
642,10.0,10.0
643,37.0,39.0
644,165.0,105.0
645,50.0,51.0
646,39.0,41.0
647,25.0,26.0
648,135.0,74.0
649,66.0,71.0
650,48.0,51.0
651,79.0,82.0
652,11.0,11.0
653,44.0,48.0
654,67.0,219.0
655,15.0,15.0
656,12.0,12.0
657,27.0,28.0
658,13.0,13.0
659,150.0,71.0
660,26.0,28.0
661,10.0,10.0
662,73.0,76.0
663,59.0,88.0
664,97.0,103.0
665,27.0,28.0
666,12.0,12.0
667,67.0,78.0
668,117.0,133.0
669,172.0,159.0
670,47.0,50.0
671,12.0,12.0
672,131.0,137.0
673,136.0,270.0
674,111.0,192.0
675,38.0,40.0
676,13.0,13.0
677,26.0,27.0
678,76.0,72.0
679,91.0,73.0
680,62.0,65.0
681,50.0,51.0
682,263.0,242.0
683,12.0,13.0
684,347.0,406.0
685,12.0,12.0
686,12.0,12.0
687,63.0,68.0
688,14.0,14.0
689,26.0,27.0
690,14.0,14.0
691,45.0,49.0
692,13.0,13.0
693,209.0,203.0
694,124.0,132.0
695,114.0,118.0
696,51.0,57.0
697,203.0,381.0
698,475.0,136.0
699,12.0,12.0
700,47.0,49.0
701,55.0,57.0
702,97.0,76.0
703,44.0,45.0
704,10000.0,275.0
705,26.0,27.0
706,29.0,30.0
707,12.0,13.0
708,217.0,247.0
709,28.0,29.0
710,219.0,164.0
711,108.0,100.0
712,25.0,26.0
713,24.0,25.0
714,53.0,56.0
715,39.0,41.0
716,26.0,28.0
717,52.0,97.0
718,153.0,120.0
719,12.0,12.0
720,208.0,169.0
721,40.0,56.0
722,41.0,42.0
723,12.0,12.0
724,10.0,10.0
725,310.0,88.0
726,10.0,10.0
727,13.0,13.0
728,84.0,89.0
729,42.0,44.0
730,36.0,39.0
731,39.0,40.0
732,324.0,280.0
733,26.0,27.0
734,249.0,439.0
735,12.0,12.0
736,53.0,68.0
737,181.0,158.0
738,118.0,293.0
739,56.0,59.0
740,12.0,12.0
741,12.0,12.0
742,25.0,27.0
743,55.0,69.0
744,147.0,246.0
745,61.0,64.0
746,28.0,30.0
747,177.0,193.0
748,23.0,24.0
749,12.0,12.0
750,80.0,83.0
751,74.0,75.0
752,35.0,47.0
753,42.0,42.0
754,61.0,75.0
755,13.0,13.0
756,10.0,10.0
757,107.0,106.0
758,28.0,29.0
759,26.0,27.0
760,150.0,99.0
761,25.0,27.0
762,301.0,235.0
763,70.0,64.0
764,47.0,49.0
765,10000.0,93.0
766,54.0,57.0
767,191.0,210.0
768,81.0,74.0
769,219.0,230.0
770,12.0,12.0
771,12.0,12.0
772,49.0,60.0
773,110.0,197.0
774,59.0,59.0
775,610.0,168.0
776,347.0,365.0
777,150.0,213.0
778,56.0,59.0
779,44.0,45.0
780,12.0,12.0
781,24.0,25.0
782,12.0,12.0
783,12.0,12.0
784,26.0,28.0
785,57.0,58.0
786,28.0,29.0
787,12.0,12.0
788,10.0,10.0
789,12.0,12.0
790,58.0,58.0
791,25.0,26.0
792,69.0,161.0
793,25.0,26.0
794,249.0,129.0
795,13.0,13.0
796,101.0,152.0
797,99.0,105.0
798,81.0,87.0
799,72.0,70.0
800,12.0,12.0
801,13.0,13.0
802,196.0,130.0
803,124.0,241.0
804,12.0,12.0
805,204.0,278.0
806,72.0,189.0
807,24.0,25.0
808,43.0,45.0
809,26.0,28.0
810,183.0,192.0
811,138.0,142.0
812,26.0,27.0
813,12.0,12.0
814,47.0,49.0
815,305.0,117.0
816,318.0,10000.0
817,12.0,12.0
818,134.0,147.0
819,93.0,161.0
820,10000.0,816.0
821,36.0,37.0
822,13.0,13.0
823,10.0,10.0
824,340.0,238.0
825,12.0,12.0
826,12.0,12.0
827,26.0,27.0
828,25.0,26.0
829,217.0,311.0
830,102.0,107.0
831,131.0,169.0
832,84.0,307.0
833,12.0,12.0
834,12.0,12.0
835,194.0,172.0
836,178.0,390.0
837,45.0,49.0
838,12.0,12.0
839,26.0,27.0
840,27.0,28.0
841,13.0,13.0
842,133.0,144.0
843,26.0,27.0
844,48.0,51.0
845,12.0,12.0
846,34.0,36.0
847,215.0,293.0
848,13.0,13.0
849,231.0,241.0
850,12.0,12.0
851,38.0,39.0
852,48.0,51.0
853,377.0,72.0
854,20.0,75.0
855,143.0,90.0
856,224.0,193.0
857,27.0,28.0
858,85.0,87.0
859,151.0,125.0
860,27.0,28.0
861,30.0,30.0
862,84.0,102.0
863,32.0,34.0
864,11.0,11.0
865,324.0,395.0
866,24.0,25.0
867,11.0,12.0
868,126.0,132.0
869,38.0,39.0
870,12.0,12.0
871,10.0,10.0
872,28.0,30.0
873,48.0,64.0
874,126.0,93.0
875,12.0,12.0
876,37.0,39.0
877,12.0,12.0
878,241.0,244.0
879,42.0,57.0
880,13.0,13.0
881,26.0,27.0
882,36.0,36.0
883,194.0,112.0
884,44.0,45.0
885,10.0,10.0
886,142.0,147.0
887,12.0,12.0
888,23.0,24.0
889,97.0,126.0
890,262.0,175.0
891,125.0,130.0
892,126.0,113.0
893,80.0,83.0
894,12.0,12.0
895,103.0,109.0
896,49.0,50.0
897,10000.0,188.0
898,171.0,173.0
899,52.0,54.0
900,231.0,540.0
901,11.0,12.0
902,10.0,10.0
903,12.0,12.0
904,104.0,84.0
905,12.0,12.0
906,29.0,38.0
907,141.0,126.0
908,116.0,122.0
909,173.0,443.0
910,178.0,289.0
911,10.0,10.0
912,10.0,10.0
913,10.0,10.0
914,57.0,60.0
915,12.0,13.0
916,130.0,139.0
917,76.0,119.0
918,50.0,52.0
919,537.0,320.0
920,28.0,30.0
921,138.0,159.0
922,13.0,13.0
923,12.0,13.0
924,113.0,69.0
925,13.0,14.0
926,10.0,10.0
927,10.0,10.0
928,161.0,135.0
929,38.0,39.0
930,31.0,31.0
931,39.0,40.0
932,89.0,95.0
933,264.0,10000.0
934,46.0,47.0
935,10.0,10.0
936,13.0,13.0
937,110.0,117.0
938,43.0,45.0
939,67.0,69.0
940,128.0,133.0
941,12.0,12.0
942,13.0,13.0
943,10.0,10.0
944,306.0,10000.0
945,93.0,99.0
946,25.0,26.0
947,319.0,82.0
948,131.0,76.0
949,12.0,12.0
950,10000.0,231.0
951,51.0,53.0
952,12.0,12.0
953,95.0,99.0
954,186.0,291.0
955,95.0,95.0
956,12.0,12.0
957,12.0,13.0
958,116.0,165.0
959,87.0,121.0
960,103.0,117.0
961,13.0,14.0
962,47.0,49.0
963,123.0,126.0
964,95.0,266.0
965,29.0,30.0
966,12.0,12.0
967,49.0,50.0
968,12.0,12.0
969,44.0,47.0
970,130.0,141.0
971,55.0,111.0
972,12.0,12.0
973,81.0,150.0
974,12.0,12.0
975,25.0,26.0
976,27.0,28.0
977,25.0,26.0
978,26.0,27.0
979,24.0,25.0
980,10.0,10.0
981,72.0,78.0
982,134.0,86.0
983,10000.0,56.0
984,67.0,94.0
985,176.0,518.0
986,302.0,295.0
987,94.0,102.0
988,113.0,225.0
989,34.0,36.0
990,26.0,27.0
991,245.0,242.0
992,28.0,29.0
993,24.0,76.0
994,60.0,61.0
995,85.0,84.0
996,24.0,26.0
997,47.0,49.0
998,152.0,192.0
999,125.0,109.0
